alt-low                     alt-high                    press                       temp                        O3                          H2O                         CO2                         CH4                         O2                          CO                          N2                          
0.000000000000000e+00       5.000000000000000e-01       9.836638639979226e-01       2.881499900000000e+02       2.297518347327757e-08       1.750000000000000e-02       3.600000000000000e-04       1.800000000000000e-06       2.100000000000000e-01       1.100000000000000e-07       7.721380670248166e-01       
5.000000000000000e-01       1.000000000000000e+00       9.270907384001046e-01       2.849002900000000e+02       2.426379446871433e-08       1.098438735122117e-02       3.600016769919407e-04       1.799084559507487e-06       2.099999880312129e-01       1.092844054207299e-07       7.786536903078145e-01       
1.000000000000000e+00       1.500000000000000e+00       8.731118850930247e-01       2.816510900000000e+02       2.596071978830728e-08       6.910052313698340e-03       3.600032800414003e-04       1.798318711071960e-06       2.099999773942924e-01       1.087433451646263e-07       7.827280339891919e-01       
1.500000000000000e+00       2.000000000000000e+00       8.216674465884313e-01       2.784023700000000e+02       2.799595538925912e-08       4.359293750812095e-03       3.600048172294714e-04       1.797657949840009e-06       2.099999672607090e-01       1.083301470277026e-07       7.852788001871972e-01       
2.000000000000000e+00       2.500000000000000e+00       7.726843217879278e-01       2.751541400000000e+02       3.031737314734426e-08       2.760006728781195e-03       3.600063020737319e-04       1.797070818947975e-06       2.099999571709422e-01       1.080072749688794e-07       7.868780944027358e-01       
2.500000000000000e+00       3.000000000000000e+00       7.260825084515902e-01       2.719064000000000e+02       3.288516038990457e-08       1.755371617902000e-03       3.600077484017361e-04       1.796535229652093e-06       2.099999468690966e-01       1.077434806963481e-07       7.878827366007288e-01       
3.000000000000000e+00       3.500000000000000e+00       6.817788772802111e-01       2.686592100000000e+02       3.566740697491585e-08       1.122737055965061e-03       3.600091684795757e-04       1.796035729926495e-06       2.099999362179479e-01       1.075114878243509e-07       7.885153783429828e-01       
3.500000000000000e+00       4.000000000000000e+00       6.396894048965283e-01       2.654125600000000e+02       3.863659353952381e-08       7.230991269080571e-04       3.600105721361962e-04       1.795561478520134e-06       2.099999251451711e-01       1.072860632100810e-07       7.889150236716493e-01       
4.000000000000000e+00       4.500000000000000e+00       5.997304837656899e-01       2.621664100000000e+02       4.176674862370822e-08       4.696233996636965e-04       3.600119665533094e-04       1.795104760959361e-06       2.099999136106662e-01       1.070424340941141e-07       7.891685071091732e-01       
4.500000000000000e+00       5.000000000000000e+00       5.618196933746832e-01       2.589207400000000e+02       4.503110698841220e-08       3.080248611805347e-04       3.600133569201049e-04       1.794659899727664e-06       2.099999015959411e-01       1.067550740444371e-07       7.893301137398775e-01       
