Wavelength (nm)  Solar flux (mW/m^2/nm)
         0.5000  2.550612e-01
         1.5000  1.700304e-01
         2.5000  6.522598e-01
         3.5000  4.216467e-01
         4.5000  5.781677e-01
         5.5000  9.848415e-01
         6.5000  8.681185e-01
         7.5000  9.031045e-01
         8.5000  5.453998e-01
         9.5000  6.065888e-01
        10.5000  2.087893e-01
        11.5000  1.482853e-01
        12.5000  9.207339e-02
        13.5000  8.805296e-02
        14.5000  2.772351e-01
        15.5000  3.313829e-01
        16.5000  4.465790e-01
        17.5000  1.961821e+00
        18.5000  9.706251e-01
        19.5000  9.907131e-01
        20.5000  4.759899e-01
        21.5000  3.645586e-01
        22.5000  5.073721e-01
        23.5000  2.523015e-01
        24.5000  6.283091e-01
        25.5000  1.028817e+00
        26.5000  3.402566e-01
        27.5000  5.928748e-01
        28.5000  2.609484e+00
        29.5000  2.038118e-01
        30.5000  7.072627e+00
        31.5000  8.249440e-01
        32.5000  1.135373e+00
        33.5000  1.105018e+00
        34.5000  4.682273e-01
        35.5000  3.992182e-01
        36.5000  2.371310e+00
        37.5000  8.763355e-02
        38.5000  3.724003e-02
        39.5000  3.668416e-02
        40.5000  6.097292e-02
        41.5000  1.185635e-01
        42.5000  2.906304e-02
        43.5000  6.714425e-02
        44.5000  2.611000e-02
        45.5000  2.895412e-02
        46.5000  1.037332e-01
        47.5000  4.082292e-02
        48.5000  6.737128e-02
        49.5000  2.377137e-01
        50.5000  9.598623e-02
        51.5000  3.259946e-02
        52.5000  5.692552e-02
        53.5000  4.157760e-02
        54.5000  2.655959e-02
        55.5000  1.178620e-01
        56.5000  3.561287e-02
        57.5000  3.516248e-02
        58.5000  1.973826e-01
        59.5000  4.082174e-02
        60.5000  1.664052e-01
        61.5000  5.014654e-02
        62.5000  2.158076e-01
        63.5000  5.413867e-02
        64.5000  1.224180e-02
        65.5000  9.580744e-03
        66.5000  8.416757e-03
        67.5000  8.556887e-03
        68.5000  2.925323e-02
        69.5000  2.150439e-02
        70.5000  5.568056e-02
        71.5000  2.417532e-02
        72.5000  1.808685e-02
        73.5000  2.335337e-02
        74.5000  2.851949e-02
        75.5000  4.303315e-02
        76.5000  1.074908e-01
        77.5000  9.816419e-02
        78.5000  1.355554e-01
        79.5000  6.278371e-02
        80.5000  6.443683e-02
        81.5000  7.255943e-02
        82.5000  1.062727e-01
        83.5000  1.786164e-01
        84.5000  1.296163e-01
        85.5000  1.430391e-01
        86.5000  1.502757e-01
        87.5000  1.772574e-01
        88.5000  2.007691e-01
        89.5000  2.420009e-01
        90.5000  2.824381e-01
        91.5000  2.139433e-01
        92.5000  7.569862e-02
        93.5000  6.565659e-02
        94.5000  4.639655e-02
        95.5000  2.646022e-02
        96.5000  2.726716e-02
        97.5000  6.085546e-01
        98.5000  5.453917e-02
        99.5000  8.339164e-02
       100.5000  3.347755e-02
       101.5000  3.834127e-02
       102.5000  9.232975e-01
       103.5000  6.424134e-01
       104.5000  5.149833e-02
       105.5000  4.321096e-02
       106.5000  4.076663e-02
       107.5000  4.287395e-02
       108.5000  7.126846e-02
       109.5000  4.752389e-02
       110.5000  5.022027e-02
       111.5000  4.516044e-02
       112.5000  4.941954e-02
       113.5000  3.773748e-02
       114.5000  2.530401e-02
       115.5000  4.119924e-02
       116.5000  4.616081e-02
       117.5000  4.016172e-01
       118.5000  5.102650e-02
       119.5000  1.695230e-01
       119.7500  1.633660e-01
       119.8000  1.706210e-01
       119.8500  1.794840e-01
       119.9000  1.877114e-01
       119.9500  1.927649e-01
       120.0000  1.926483e-01
       120.0500  1.873684e-01
       120.1000  1.782450e-01
       120.1500  1.681458e-01
       120.2000  1.600228e-01
       120.2500  1.579249e-01
       120.3000  1.769713e-01
       120.3500  2.463327e-01
       120.4000  3.915272e-01
       120.4500  6.158721e-01
       120.5000  1.615990e+00
       120.5500  2.092327e+00
       120.6000  2.405395e+00
       120.6500  2.450119e+00
       120.7000  2.208717e+00
       120.7500  9.754406e-01
       120.8000  8.701106e-01
       120.8500  5.969068e-01
       120.9000  4.174351e-01
       120.9500  3.419044e-01
       121.0000  3.465184e-01
       121.0500  3.992700e-01
       121.1000  5.039012e-01
       121.1500  8.025362e-01
       121.2000  2.006886e+00
       121.2500  6.027196e+00
       121.3000  1.540405e+01
       121.3500  3.124769e+01
       121.4000  5.213398e+01
       121.4500  7.433179e+01
       121.5000  9.206097e+01
       121.5500  9.932703e+01
       121.6000  9.369583e+01
       121.6500  7.734720e+01
       121.7000  5.576701e+01
       121.7500  3.464820e+01
       121.8000  1.822328e+01
       121.8500  8.098023e+00
       121.9000  3.295158e+00
       121.9500  1.522603e+00
       122.0000  8.991748e-01
       122.0500  6.194316e-01
       122.1000  4.577617e-01
       122.1500  3.619587e-01
       122.2000  3.029583e-01
       122.2500  2.629224e-01
       122.3000  2.337491e-01
       122.3500  2.116603e-01
       122.4000  1.943671e-01
       122.4500  1.452757e-01
       122.5000  1.366564e-01
       122.5500  1.303502e-01
       122.6000  1.261789e-01
       122.6500  1.234982e-01
       122.7000  1.216067e-01
       122.7500  1.199790e-01
       122.8000  1.177705e-01
       122.8500  1.145745e-01
       122.9000  1.107413e-01
       122.9500  1.063301e-01
       123.0000  1.016322e-01
       123.0500  9.728709e-02
       123.1000  9.384601e-02
       123.1500  9.133677e-02
       123.2000  8.970007e-02
       123.2500  8.876077e-02
       123.3000  8.811213e-02
       123.3500  8.755098e-02
       123.4000  8.681656e-02
       123.4500  8.573545e-02
       123.5000  8.546539e-02
       123.5500  8.889720e-02
       123.6000  9.929225e-02
       123.6500  1.179124e-01
       123.7000  1.444001e-01
       123.7500  1.742702e-01
       123.8000  1.988619e-01
       123.8500  2.099627e-01
       123.9000  2.054863e-01
       123.9500  1.879895e-01
       124.0000  1.650072e-01
       124.0500  1.464215e-01
       124.1000  1.381543e-01
       124.1500  1.392139e-01
       124.2000  1.440963e-01
       124.2500  1.461579e-01
       124.3000  1.404334e-01
       124.3500  1.263590e-01
       124.4000  1.079351e-01
       124.4500  9.050302e-02
       124.5000  7.755957e-02
       124.5500  7.001579e-02
       124.6000  6.711958e-02
       124.6500  6.674575e-02
       124.7000  6.671570e-02
       124.7500  6.631376e-02
       124.8000  6.585497e-02
       124.8500  6.568240e-02
       124.9000  6.608137e-02
       124.9500  6.685121e-02
       125.0000  6.724927e-02
       125.0500  6.733311e-02
       125.1000  6.784464e-02
       125.1500  6.915384e-02
       125.2000  7.205743e-02
       125.2500  7.686652e-02
       125.3000  8.212674e-02
       125.3500  8.624404e-02
       125.4000  8.859427e-02
       125.4500  8.886709e-02
       125.5000  8.763363e-02
       125.5500  8.637285e-02
       125.6000  8.613523e-02
       125.6500  8.788421e-02
       125.7000  9.295024e-02
       125.7500  1.022928e-01
       125.8000  1.164729e-01
       125.8500  1.343509e-01
       125.9000  1.523543e-01
       125.9500  1.653040e-01
       126.0000  1.691899e-01
       126.0500  1.618187e-01
       126.1000  1.440253e-01
       126.1500  1.222364e-01
       126.2000  1.073570e-01
       126.2500  1.088328e-01
       126.3000  1.294628e-01
       126.3500  1.651607e-01
       126.4000  2.055617e-01
       126.4500  2.360091e-01
       126.5000  2.435063e-01
       126.5500  2.255508e-01
       126.6000  1.898860e-01
       126.6500  1.474758e-01
       126.7000  1.082520e-01
       126.7500  7.931908e-02
       126.8000  6.220782e-02
       126.8500  5.395467e-02
       126.9000  5.045100e-02
       126.9500  4.927836e-02
       127.0000  4.922814e-02
       127.0500  4.937410e-02
       127.1000  4.909979e-02
       127.1500  4.854575e-02
       127.2000  4.863583e-02
       127.2500  5.023626e-02
       127.3000  5.401601e-02
       127.3500  5.997214e-02
       127.4000  6.729162e-02
       127.4500  7.446491e-02
       127.5000  8.065492e-02
       127.5500  8.527719e-02
       127.6000  8.783193e-02
       127.6500  8.873999e-02
       127.7000  8.864431e-02
       127.7500  8.751843e-02
       127.8000  8.580904e-02
       127.8500  8.412900e-02
       127.9000  8.220019e-02
       127.9500  7.943923e-02
       128.0000  7.551386e-02
       128.0500  7.006464e-02
       128.1000  6.326017e-02
       128.1500  5.618436e-02
       128.2000  4.994690e-02
       128.2500  4.523967e-02
       128.3000  4.244851e-02
       128.3500  4.110002e-02
       128.4000  4.038944e-02
       128.4500  4.006688e-02
       128.5000  4.040839e-02
       128.5500  4.218716e-02
       128.6000  4.598154e-02
       128.6500  5.206501e-02
       128.7000  5.985471e-02
       128.7500  6.794093e-02
       128.8000  7.425452e-02
       128.8500  7.730904e-02
       128.9000  7.672306e-02
       128.9500  7.272187e-02
       129.0000  6.654910e-02
       129.0500  5.985896e-02
       129.1000  5.380755e-02
       129.1500  4.916389e-02
       129.2000  4.655824e-02
       129.2500  4.642739e-02
       129.3000  4.871308e-02
       129.3500  5.330226e-02
       129.4000  5.950595e-02
       129.4500  6.597826e-02
       129.5000  7.118387e-02
       129.5500  7.432996e-02
       129.6000  7.552883e-02
